Date,Day,Holiday,
1-Jan-2023,Sun,New Year's Day,
2-Jan-2023,Mon,New Year Holiday,
26-Jan-2023,Thu,Australia Day,
7-Apr-2023,Fri,Good Friday,
8-Apr-2023,Sat,Day following Good Friday,
9-Apr-2023,Sun,Easter Sunday,
10-Apr-2023,Mon,Easter Monday,
25-Apr-2023,Tue,Anzac Day,
12-Jun-2023,Mon,King's Birthday,
2-Oct-2023,Mon,Labour Day,
25-Dec-2023,Mon,Christmas Day,
26-Dec-2023,Tue,Boxing Day,
